
source_board_name,source_url,provider_name,provider_legal_name,provider_type,description,street_1,street_2,city,state,zip,county,phone,fax,email,website,intake_phone,hours,services_raw,payment_raw,telehealth_available,languages_raw,populations_raw,level_of_care_raw,mat_options_raw,peer_support_available,peer_services_raw,npi,license_raw,last_verified_date,verified_status,verification_evidence,notes
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Fayette County Clinic,,clinic,Outpatient mental health clinic,1300 E Paint Street,,Washington Court House,OH,43160.0,Fayette,740-335-6935,740-335-7423,,https://www.spvmhc.org,740-335-7155,,Outpatient mental health clinic,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed with address and phone,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Highland County Clinic,,clinic,Outpatient mental health clinic,108 Erin Court,P.O. Box 219,Hillsboro,OH,45133.0,Highland,937-393-9946,937-393-2518,,https://www.spvmhc.org,937-393-9904,,Outpatient mental health clinic,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed with address and phone,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,South Central Ohio Big Brothers Big Sisters Association,,non-profit organization,Community-based mentoring program for youth,173 West Second Street,,Chillicothe,OH,45601.0,Ross,740-773-2447,740-773-9072,bbbssco@bright.net,https://www.bbbssco.org,800-888-6335,Mon-Fri 8:30AM-5:00PM,Mentoring/peer-to-peer coaching,,,"English, Spanish",Children and youth,,,yes,mentoring,,,2025-12-29,likely_active,Provider contact info from relink.org; board listing,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,The Recovery Council – Waverly Outpatient,,substance use disorder treatment provider,Outpatient substance use disorder treatment,111 N High Street,,Waverly,OH,45690.0,Pike,740-947-7581,740-947-6917,,https://therecoverycouncil.org,,,Outpatient substance use disorder treatment,,,,,Outpatient,,,,,,2025-12-29,likely_active,Board listing; provider website contact info,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,The Recovery Council – Chillicothe Outpatient,,substance use disorder treatment provider,Outpatient substance use disorder treatment,38 E Water Street,,Chillicothe,OH,45601.0,Ross,740-851-5307,740-851-5308,,https://therecoverycouncil.org,,,Outpatient substance use disorder treatment,,,,,Outpatient,,,,,,2025-12-29,likely_active,Board listing; provider website contact info,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Pickaway Area Recovery Services (PARS),,substance use treatment provider,Provides outpatient and residential substance use disorder treatment,110 Highland Avenue,,Circleville,OH,43113.0,Pickaway,740-477-1745,740-477-2779,,https://www.pickawayarearecoveryservices.org,,,Outpatient and residential substance use disorder treatment,,,,,,,,,,,2025-12-29,likely_active,Provider listing on board site,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Fayette Recovery Center,,substance use treatment provider,Outpatient substance use disorder treatment and recovery services,15 Fayette Center,,Washington Court House,OH,43160.0,Fayette,740-335-8228,740-335-2029,,https://www.pickawayarearecoveryservices.org,,,Outpatient substance use disorder treatment,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listing on board site,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,NAMI Southern Ohio,,non-profit organization,"Family and peer support, education and advocacy for mental health",77 E Water Street,Suite 215,Chillicothe,OH,45640.0,Ross,402-704-6264,,info@namisouthernohio.org,https://www.namisouthernohio.org,,,Peer support and mental health advocacy,,,,,,,yes,peer support groups,,,2025-12-29,likely_active,Contact information from NAMI national site,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Integrated Services for Behavioral Health – Ross County Office,,behavioral health provider,Behavioral health and social services,18 East Second Street,,Chillicothe,OH,45601.0,Ross,740-772-6191,,,https://www.isbh.org,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board listing and provider phone,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Integrated Services for Behavioral Health – Fayette County Office,,behavioral health provider,Behavioral health and social services,1450 Columbus Avenue,Suite 105,Washington Court House,OH,43160.0,Fayette,740-520-0910,,,https://www.isbh.org,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board listing,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Integrated Services for Behavioral Health – Highland County Office,,behavioral health provider,Behavioral health and social services,100 S High Street,Suite 208,Hillsboro,OH,45133.0,Highland,937-795-4980,,,https://www.isbh.org,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board listing,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Integrated Services for Behavioral Health – Pickaway County Office,,behavioral health provider,Behavioral health and social services,1154 North Court Street,,Circleville,OH,43113.0,Pickaway,740-497-4764,,,https://www.isbh.org,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board listing,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Integrated Services for Behavioral Health – Pike County Office,,behavioral health provider,Behavioral health and social services,316 Main Street,P.O. Box 43,Piketon,OH,45661.0,Pike,740-443-6260,,,https://www.isbh.org,,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Board listing,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,"Pinnacle Treatment Centers OH-II, LLC – Chillicothe Treatment Services",,opioid treatment program,Methadone maintenance and opioid treatment program,606 Central Center,,Chillicothe,OH,45601.0,Ross,740-771-3553,,,https://pinnacletreatment.com,,,Opioid treatment program (methadone maintenance),,,,Adults,Outpatient,Methadone,,,,,2025-12-29,likely_active,Board listing; provider details from search,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,BrightView LLC – Chillicothe,,opioid treatment program,Medication-assisted treatment and counseling,126 E 2nd Street,,Chillicothe,OH,45601.0,Ross,513-834-7063,,,https://www.brightviewhealth.com,,,Outpatient medication-assisted treatment and counseling,,,,Adults,Outpatient,MAT,,,,,2025-12-29,likely_active,Board listing,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,"Premier Care of Ohio, LLC – Orient",Community Medical Services,opioid treatment program,Opioid treatment program located at state facility,11271 State Route 762,,Orient,OH,43146.0,Pickaway,937-642-1065,,,https://www.communitymedicalservices.org,,,Opioid treatment program,,,,Adults,Outpatient,"Methadone, Buprenorphine",,,,,2025-12-29,likely_active,Provider details from CARF listing; board listing,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Southwestern Recovery,,opioid treatment program,Outpatient opioid treatment program,225 W Emmitt Ave,Suite 3,Waverly,OH,45690.0,Pike,740-912-1034,,,,,,Outpatient opioid treatment program,,,,Adults,Outpatient,MAT,,,,,2025-12-29,likely_active,Provider listing on board site,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Hope Valley Recovery,,recovery housing and treatment,Recovery housing and support services,2065 Stoneridge Drive,,Circleville,OH,43113.0,Pickaway,740-500-1391,,,,,,Recovery housing and support services,,,,Adults,Residential,,,,,,2025-12-29,likely_active,Provider listing on board site,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Anchor Addiction and Wellness Center,,opioid treatment program,Addiction treatment and wellness center,3 Medical Drive,,Chillicothe,OH,45601.0,Ross,740-779-6612,,,,,,Addiction treatment and wellness center,,,,Adults,Outpatient,MAT,,,,,2025-12-29,likely_active,Provider listing on board site,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Catholic Charities,,,"Programs including early intervention, employment, mental health and substance abuse services for families & children.",602 South Street,,Chardon,OH,44024.0,Geauga,440-285-3537,,,,,,early intervention services; employment services; mental health and substance abuse programs,,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Family Pride of Northeast Ohio,,,"Mental health services offering individual, couples and family counseling; case management in home, office, school, via telehealth or community.",695 South Street,,Chardon,OH,44024.0,Geauga,440-286-1553,,,,,,"individual, couples and family mental health services; counseling and case management; telehealth",,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Geauga County LOSS Team,,,Local Outreach Support to Survivors (LOSS) Team providing outreach services to individuals experiencing traumatic events such as death of a loved one.,12450 Merritt Road,,Chardon,OH,44024.0,Geauga,440-279-2062,,,,,,outreach support to survivors; bereavement support,,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Geauga Family First Council,,,Collaborative council of local agencies and representatives pooling resources to strengthen families and remove barriers to services.,12611 Ravenwood Drive,Suite 150,Chardon,OH,44024.0,Geauga,440-285-1201,,,,,,family resource coordination; collaboration; barrier removal,,,,families,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Lake-Geauga Recovery Centers,,,"Provides services for individuals and families struggling with substance abuse or addiction, mental health concerns or problem gambling; trauma-informed and evidence-based.",209 Center Street,,Chardon,OH,44024.0,Geauga,440-255-6384,,,,,,substance abuse and addiction treatment; mental health; problem gambling; trauma-informed; evidence-based services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,NAMI Geauga,,,"Local affiliate of the National Alliance on Mental Illness, providing advocacy, education, support and public awareness for mental health.",8389 Mayfield Road,Suite A-2,Chesterland,OH,44026.0,Geauga,440-286-6264,,,,,,advocacy; education; support; public awareness,,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Ravenwood Health,,,Provides safe and compassionate mental health services promoting unique person’s path to healing.,12557 Ravenwood Dr.,,Chardon,OH,44024.0,Geauga,440-285-3568,,,,,,mental health services; counseling; support,,,,,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Red Tulip of Geauga County,,,Operates a Level 2 recovery home providing safe housing and support for women maintaining sobriety.,P.O. Box 322,,East Claridon,OH,44024.0,Geauga,440-488-2908,,,,,,Level 2 recovery home; support for women,,,,women,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,Torchlight Youth Mentoring Alliance,,,Provides youth mentoring and development programs with supportive adult relationships and educational programs.,8 N. State Street,,Painesville,OH,44077.0,Geauga,440-352-2526,,,,,,youth mentoring programs; educational programs,,,,youth,,,,,,,2025-12-29,likely_active,Board directory listing with address and phone,
Geauga County Board of Mental Health and Recovery Services,https://www.geauga.org/provider-directory/,"WomenSafe, Inc.",,,"Nonprofit offering services for survivors of domestic violence including emergency shelter, court advocacy, counseling, art therapy, peer support groups and employment advocacy.",12041 Ravenna Road,,Chardon,OH,44024.0,Geauga,440-286-7154,,,,,,emergency shelter; court advocacy; counseling; art therapy; peer support groups; employment advocacy,,,,,,,,peer support groups,,,2025-12-29,likely_active,Board directory listing with address and phone,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Family Resource Center,,,,1941 Carlin St,,Findlay,OH,45840.0,Hancock,419-425-5050,,,frcohio.com,,,Outpatient; Medication Treatment; Residential; Community Support,,,,Adults; Youth,,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,OhioGuidestone (Findlay),,,Residential (men only) and outpatient services,"1624 Tiffin Ave, Suite D",,Findlay,OH,45840.0,Hancock,419-422-7800,,,ohioguidestone.org,,,Outpatient; Medication Treatment; Residential (men only); Community Support,,,,Adults; Youth; Men,,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Blanchard Valley Health System (Orchard Hall),,Hospital,,1900 S. Main St.,,Findlay,OH,45840.0,Hancock,419-423-5239,,,bvhealthsystem.org,,,Hospital,,,,,Inpatient; Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Psychiatric Center of Northwest Ohio,,Outpatient Clinic,,1610 Fostoria Ave.,,Findlay,OH,45840.0,Hancock,419-429-6480,,,bvhealthsystem.org,,,Outpatient,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Promedica Physicians Behavioral Health,,Outpatient Clinic,,1100 E. Main Cross Suite 159,,Findlay,OH,45840.0,Hancock,419-424-2011,,,promedica.org,,,Outpatient,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Findlay Recovery Center,,Detox Hospital,,1800 Manor Hill Rd,,Findlay,OH,45840.0,Hancock,419-664-5237,,,findlayrecoverycenter.com,,,Detox Hospital,,,,,Detox,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Findlay Treatment Services (Pinnacle),,Outpatient Clinic,,2121 Tiffin Ave,,Findlay,OH,45840.0,Hancock,419-434-1431,,,pinnacletreatment.com,,,Outpatient; Medication Treatment; Community Support,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Spero Health (Findlay),,Outpatient Clinic,,1645 Tiffin Ave,,Findlay,OH,45840.0,Hancock,419-745-9852,,,sperohealth.com,,,Outpatient; Medication Treatment; Community Support,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Stepping Stones Counseling Center,,Counseling Center,,206 W. Lima St.,,Findlay,OH,45840.0,Hancock,419-422-7970,,,steppingstonesfindlay.com,,,Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Lighthouse Counseling,,Counseling Center,,301 E. Sandusky St.,,Findlay,OH,45840.0,Hancock,419-423-9133,,,lighthousecounseling2000.com,,,Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Sophos Wellness Center,,Wellness Center,,500 N. Main St.,,Findlay,OH,45840.0,Hancock,419-889-7807,,,,,,Wellness services,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Mind Body Health Associates,,Counseling Center,,124 E. Front St.,,Findlay,OH,45840.0,Hancock,567-525-3311,,,mindbodyhealthassociates.com,,,Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,True North Therapy,,Counseling Center,,"1100 E. Main Cross St., Suite 155",,Findlay,OH,45840.0,Hancock,567-301-2037,,,truenorthfindlay.com,,,Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Moving Forward Counseling,,Counseling Center,,"1655 Tiffin Ave., Suite D",,Findlay,OH,45840.0,Hancock,567-229-2053,,,movingforwardcounselingservices.com,,,Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Arrowhead Behavioral Health,,Hospital/Residential,,1725 Timber Line Rd.,,Maumee,OH,43537.0,Lucas,800-547-5695,,,arrowheadbehavioral.com,,,Outpatient; Hospital; Residential,,,,,Outpatient; Residential,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Coleman Professional Services (Lima),,Behavioral Health,,799 S. Main St.,,Lima,OH,45804.0,Allen,419-229-2222,,,colemanservices.org,,,Outpatient; Residential; Community Support,,,,,Outpatient; Residential,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Harbor,,Behavioral Health,,1010 North Prospect,,Bowling Green,OH,43402.0,Wood,419-352-5387,,,harbor.org,,,Outpatient; Nursing Home; Residential; Community Support,,,,,Outpatient; Residential,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Health Partners of Western Ohio,,Health Center,,"329 N. West St., 2nd Floor",,Lima,OH,45801.0,Allen,877-516-4149,,,hpwohio.org,,,Ambulatory; MAT,,,,,,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Pathways Counseling Center,,Counseling Center,,835 N. Locust St.,,Ottawa,OH,45875.0,Putnam,419-523-4300,,,pathwaysputnam.org,,,Outpatient; Community Support,,,,,Outpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,St. Rita’s Medical Center - Mercy Health,,Hospital,,730 W. Market St.,,Lima,OH,45801.0,Allen,419-227-3361,,,mercy.com,,,Outpatient; Hospital,,,,,Outpatient; Inpatient,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Hancock County ADAMHS Board,https://www.yourpathtohealth.org/wp-content/uploads/2025/11/ADAMHS_ENGLISH_RESOURCE_GUIDE_REDESIGN_2025_FINAL-Update-9.10.25.pdf,Zepf Center (Bowling Green),,Behavioral Health,,219 S. Church St.,,Bowling Green,OH,43402.0,Wood,419-373-6560,,,zepfcenter.org,,,Outpatient; Nursing Home; Residential; Community Support,,,,,Outpatient; Residential,,,,,,2025-12-29,likely_active,Listed in 2025 Hancock County resource guide,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Anazao Community Partners,,,,2587 Back Orrville Rd.,,Wooster,OH,44691.0,Wayne,330-264-9597,,,,,,Outpatient Counseling; Case Management; Adults/Youth/Family; Early Childhood,,,,Adults; Youth; Families,,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Appleseed Community Mental Health,,,,2233 Rocky Lane,,Ashland,OH,44805.0,Ashland,419-281-3716,,,,,,Outpatient Counseling; Case Management; Psychiatry; Adult/Youth,,,,Adults; Youth,,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Bowden and Associates LLC,,Counseling,,365-B Riffel Rd.,,Wooster,OH,44691.0,Wayne,330-345-3461,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Cornerstone Counseling of Ashland,,Counseling,,502 Claremont Ave.,,Ashland,OH,44805.0,Ashland,419-289-1876,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Dan Stavnezer Therapy,,Therapy,,"111 S. Buckeye St., Suite 250",,Wooster,OH,44691.0,Wayne,330-201-0157,,,,,,Outpatient Counseling; Adults,,,,Adults,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,"Dr. Kenneth Karger, PhD",,Counseling,,"633 Kieffer St., Suite 200",,Wooster,OH,44691.0,Wayne,330-345-5465,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Encompass Counseling,,Counseling,,2685 Armstrong Rd.,,Wooster,OH,44691.0,Wayne,330-345-7949,,,,,,Outpatient Counseling; Adults/Youth; Psychiatry for Youth Only,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Family Life Counseling & Psychiatric Services,,Counseling,,"10 S. Clay St., Suite 101",,Millersburg,OH,44654.0,Holmes,330-275-0573,,,,,,Outpatient Counseling; Case Management; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Gentle Breeze Counseling,,Counseling,,"2056 Portage Rd., Suite 400B",,Wooster,OH,44691.0,Wayne,800-301-5520,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Hope 419,,Counseling,,4401 Cleveland Rd.,,Wooster,OH,44691.0,Wayne,419-951-2020,,,,,,Outpatient Counseling; Psychiatry,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Illuminated Mental Health,,Counseling,,"132 S. Market St., Suite 205",,Wooster,OH,44691.0,Wayne,330-227-1713,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,NAMI Wayne and Holmes Counties,,Support Organization,,2525 Back Orrville Rd.,,Wooster,OH,44691.0,Wayne,330-264-1590,,,,,,Family Support and Education; MOCA House Recovery Program; Suicide Loss Support; CIT Coordination,,,,People affected by mental health,,,yes,Support and education groups,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,OneEighty,,Behavioral Health,,104 Spink St.,,Wooster,OH,44691.0,Wayne,330-264-8498,,,,,,Outpatient Counseling; Group Counseling; Domestic Violence Counseling; Shelter,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Pathways of Hope (Grief & Hospice),,,,1900 Akron Rd.,,Wooster,OH,44691.0,Wayne,330-264-4899,,,,,,Grief Recovery; Support and Education; All Ages,,,,All Ages,,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,SourceOne Group,,Counseling,,"210 E. Milltown Rd., Suite B",,Wooster,OH,44691.0,Wayne,330-345-0955,,,,,,Outpatient Counseling; Adults/Youth,,,,Adults; Youth,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,The Village Network,,,,2000 Noble Dr.,,Wooster,OH,44691.0,Wayne,330-264-3232,,,,,,Outpatient Counseling; Youth/Young Adult Only; Psychiatry,,,,Youth; Young Adults,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,The Viola Startzman Clinic,,Medical & Dental Clinic,,1739 Cleveland Rd.,,Wooster,OH,44691.0,Wayne,330-262-2500,,,,,,Medical and Dental Clinic; Case Management; Outpatient Counseling,,,,,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Whit’s End Community Place Inc.,,Community Support,,1761 Beall Ave.,,Wooster,OH,44691.0,Wayne,330-287-2787,,,,,,Cancer Support/Education,,,,,,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,Wooster Community Hospital Behavioral Health,,Hospital,,1685 Cleveland Rd.,,Wooster,OH,44691.0,Wayne,330-263-8770,,,,,,Intensive Outpatient Program (IOP); Partial Hospitalization Program (PHP); Psychiatric access,,,,Adults,Outpatient; Partial Hospitalization,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
Wayne & Holmes Mental Health & Recovery Board,https://www.whmhrb.org/prevention-resources,A New Day,,Treatment Center,,111 S. Buckeye St.,,Wooster,OH,44691.0,Wayne,330-636-1741,,,,,,Substance Use Treatment; Adult,,,,Adults,Outpatient,,,,,,2025-12-29,likely_active,Board prevention resources page lists provider,
